snake_type,id,label
venemous,9e937f940b,crotalus-atrox
nonvenemous,9a7b588cb9,storeria-dekayi
nonvenemous,7ff5570d2f,pituophis-catenifer
nonvenemous,087903f361,thamnophis-sirtalis
nonvenemous,6e66f9667f,pantherophis-vulpinus
nonvenemous,60dd49f8d4,pituophis-catenifer
nonvenemous,7064757509,pantherophis-obsoletus
nonvenemous,baa3f02141,pantherophis-emoryi
nonvenemous,7dce396ff5,storeria-dekayi
venemous,30a99aee44,crotalus-atrox
nonvenemous,665b29ab42,thamnophis-sirtalis
nonvenemous,a443ddb908,lampropeltis-californiae
nonvenemous,ac95eb1818,lampropeltis-californiae
nonvenemous,05a6798995,thamnophis-sirtalis
nonvenemous,0241586560,thamnophis-sirtalis
nonvenemous,ff45fac73c,nerodia-sipedon
nonvenemous,013c73ee17,nerodia-sipedon
nonvenemous,b93e2f9f5b,pantherophis-obsoletus
nonvenemous,2b1413378c,pantherophis-obsoletus
venemous,9cb08cd05a,crotalus-ruber
nonvenemous,13aa42a7e4,masticophis-flagellum
nonvenemous,641e266e15,diadophis-punctatus
nonvenemous,7b5344ccfd,pantherophis-obsoletus
nonvenemous,13cfe36156,lampropeltis-triangulum
nonvenemous,e3638b66ab,pantherophis-obsoletus
nonvenemous,0f5042aa5a,thamnophis-sirtalis
nonvenemous,79783161b7,lampropeltis-triangulum
nonvenemous,195c38795c,pantherophis-obsoletus
nonvenemous,0290d68533,lampropeltis-californiae
nonvenemous,2a2b711e1e,storeria-dekayi
venemous,51622421a7,crotalus-atrox
nonvenemous,9f4c9e5d29,thamnophis-sirtalis
nonvenemous,55cf94ef25,pantherophis-obsoletus
nonvenemous,8e3a442218,pantherophis-obsoletus
nonvenemous,a5bd623c6a,lampropeltis-triangulum
nonvenemous,192dd2d4b7,nerodia-sipedon
nonvenemous,5b3791c4e4,lampropeltis-triangulum
venemous,4f3bb6e01a,crotalus-atrox
venemous,9316eb7237,crotalus-atrox
nonvenemous,aa16a509cf,lampropeltis-triangulum
nonvenemous,ad68959f68,pituophis-catenifer
nonvenemous,072f7c5df5,rhinocheilus-lecontei
nonvenemous,e6fe591e18,storeria-dekayi
nonvenemous,eed4cc6dda,thamnophis-sirtalis
nonvenemous,6335735a8a,nerodia-sipedon
nonvenemous,40fb202092,pantherophis-spiloides
nonvenemous,8d34d1a83e,pantherophis-spiloides
venemous,5d58cc2fb1,crotalus-atrox
nonvenemous,e073226ee2,lampropeltis-triangulum
nonvenemous,630628b60b,pituophis-catenifer
nonvenemous,c074d2a3c3,thamnophis-sirtalis
nonvenemous,2c03979041,thamnophis-sirtalis
nonvenemous,237efd22ef,thamnophis-sirtalis
nonvenemous,5a23092d94,thamnophis-sirtalis
nonvenemous,cebc8a3140,thamnophis-sirtalis
nonvenemous,ddbb02224a,thamnophis-sirtalis
nonvenemous,785ba4871f,thamnophis-sirtalis
nonvenemous,d19b66d326,thamnophis-sirtalis
nonvenemous,f9b0800cb8,pituophis-catenifer
venemous,2f065830d7,agkistrodon-contortrix
nonvenemous,b9893aa41a,pituophis-catenifer
nonvenemous,2c442a09ed,thamnophis-sirtalis
nonvenemous,ea100d15e2,thamnophis-sirtalis
nonvenemous,9363d2c4be,pituophis-catenifer
nonvenemous,dd0dc5ba1a,lampropeltis-californiae
nonvenemous,86b438d651,pantherophis-obsoletus
nonvenemous,a7596b0dda,thamnophis-sirtalis
nonvenemous,c0a9301d14,storeria-dekayi
nonvenemous,59d4a652fa,storeria-dekayi
nonvenemous,9266faaacf,pantherophis-guttatus
nonvenemous,5c6713d750,pituophis-catenifer
nonvenemous,4a7b39ccff,pituophis-catenifer
nonvenemous,c91233cf4f,thamnophis-sirtalis
nonvenemous,316d089f08,lampropeltis-californiae
nonvenemous,63bb9ed8c2,thamnophis-sirtalis
nonvenemous,8ec81d1cab,thamnophis-sirtalis
nonvenemous,0bef464da6,lampropeltis-triangulum
venemous,e3497219ae,crotalus-ruber
nonvenemous,259af44b24,storeria-dekayi
nonvenemous,c52f2693cf,lampropeltis-californiae
nonvenemous,18f5184f2e,rhinocheilus-lecontei
venemous,728f07bb97,crotalus-atrox
nonvenemous,fba22fecef,thamnophis-sirtalis
nonvenemous,fdbcf4aa99,pituophis-catenifer
nonvenemous,f8d202075f,thamnophis-sirtalis
nonvenemous,369a02e471,thamnophis-sirtalis
nonvenemous,3e2cadfaa9,storeria-dekayi
nonvenemous,0a59465b78,pituophis-catenifer
nonvenemous,5717af5063,thamnophis-sirtalis
nonvenemous,5a5ed0a9f9,thamnophis-sirtalis
nonvenemous,503bd5a793,opheodrys-aestivus
nonvenemous,861b144528,pantherophis-obsoletus
nonvenemous,2c1c60baac,pituophis-catenifer
venemous,f583cab812,crotalus-atrox
nonvenemous,98e28ee840,thamnophis-sirtalis
nonvenemous,e981adefe8,storeria-dekayi
nonvenemous,847dcb005c,lampropeltis-californiae
nonvenemous,2bdd1204df,thamnophis-sirtalis
nonvenemous,436a5443a6,lampropeltis-californiae
nonvenemous,b474fba6f6,coluber-constrictor
nonvenemous,4a52d81d06,pituophis-catenifer
nonvenemous,e04df53f33,pituophis-catenifer
venemous,6e0bc47bff,crotalus-atrox
nonvenemous,00a9bba384,thamnophis-sirtalis
nonvenemous,c34e07aea2,thamnophis-sirtalis
venemous,ddb3fdca4e,crotalus-horridus
nonvenemous,772912b335,lampropeltis-californiae
nonvenemous,d2d8c969f4,opheodrys-aestivus
nonvenemous,05c0503e80,opheodrys-aestivus
nonvenemous,0a2842082d,lampropeltis-triangulum
venemous,f63ccbe5e4,crotalus-atrox
nonvenemous,7c71df0f36,storeria-dekayi
nonvenemous,b812b08083,pituophis-catenifer
nonvenemous,aa46c84394,thamnophis-sirtalis
nonvenemous,172ea701fa,storeria-dekayi
venemous,4da6e0c4b1,crotalus-atrox
nonvenemous,2680cb138a,pituophis-catenifer
nonvenemous,042411e752,storeria-occipitomaculata
nonvenemous,3a90a92e92,nerodia-sipedon
nonvenemous,194d8bc5a0,nerodia-sipedon
nonvenemous,1ac35b5307,pantherophis-guttatus
nonvenemous,bd26891431,nerodia-sipedon
nonvenemous,9bcdad786e,thamnophis-sirtalis
nonvenemous,3fbfac0bbb,lampropeltis-californiae
venemous,d9f6166852,crotalus-atrox
nonvenemous,c27414795d,thamnophis-sirtalis
nonvenemous,031d5fd2dd,lampropeltis-californiae
nonvenemous,b359100fa4,opheodrys-aestivus
nonvenemous,999b3783d7,thamnophis-sirtalis
venemous,959cdb0f88,crotalus-atrox
venemous,8fa0dcc6df,crotalus-atrox
nonvenemous,8ea058e917,pituophis-catenifer
nonvenemous,ae46441c69,pituophis-catenifer
nonvenemous,b08c38c7f7,thamnophis-sirtalis
nonvenemous,328d66a6d0,thamnophis-sirtalis
nonvenemous,5ac5adfab9,pituophis-catenifer
nonvenemous,593c3b2407,pantherophis-obsoletus
nonvenemous,5d701c6be6,diadophis-punctatus
venemous,b6bcd1799a,agkistrodon-contortrix
nonvenemous,b3494fd089,storeria-dekayi
nonvenemous,0448002637,pituophis-catenifer
nonvenemous,fff8bffdb0,pantherophis-spiloides
nonvenemous,0cbc0f68b6,lampropeltis-californiae
nonvenemous,0debda08e0,nerodia-sipedon
nonvenemous,d0283c614b,lampropeltis-californiae
nonvenemous,2dbe75a840,thamnophis-proximus
nonvenemous,6d998bc9af,pituophis-catenifer
nonvenemous,3ff941e398,pantherophis-obsoletus
venemous,a9410566e4,crotalus-atrox
venemous,358af00cdd,crotalus-atrox
nonvenemous,e4ab7ba2ab,thamnophis-sirtalis
venemous,b07f81508c,thamnophis-radix
nonvenemous,3b1799fe42,pantherophis-obsoletus
nonvenemous,3d6339ea74,thamnophis-sirtalis
nonvenemous,2163674737,pantherophis-emoryi
nonvenemous,d99ab56103,pituophis-catenifer
nonvenemous,54ba70e3cc,thamnophis-sirtalis
nonvenemous,545ed78e38,pituophis-catenifer
nonvenemous,e7d07009df,thamnophis-sirtalis
nonvenemous,f6ec7eba7b,thamnophis-sirtalis
venemous,64c3ac5ad0,crotalus-atrox
venemous,b72ce0175f,crotalus-atrox
nonvenemous,b894d764f5,thamnophis-sirtalis
nonvenemous,cf5d7c4e17,storeria-dekayi
nonvenemous,58663371a3,pantherophis-obsoletus
nonvenemous,81bf550daa,thamnophis-sirtalis
nonvenemous,37f5ad479e,pantherophis-obsoletus
nonvenemous,3c8edae2a4,opheodrys-aestivus
nonvenemous,4cb468d415,lampropeltis-triangulum
nonvenemous,92e04ca324,pituophis-catenifer
venemous,11373da95a,crotalus-atrox
nonvenemous,6a3bcbcf4a,opheodrys-aestivus
nonvenemous,a5f24a2ecc,pantherophis-obsoletus
nonvenemous,1edabbc312,storeria-dekayi
nonvenemous,96aee5ec60,thamnophis-sirtalis
nonvenemous,4598203b0a,thamnophis-sirtalis
venemous,6bd8b7a823,crotalus-atrox
nonvenemous,54f91fbb3a,thamnophis-sirtalis
venemous,b9d8bbfa03,crotalus-atrox
nonvenemous,72f1ff130d,pituophis-catenifer
nonvenemous,2eccd64667,thamnophis-sirtalis
nonvenemous,2546d11351,pantherophis-obsoletus
venemous,b09f1d031b,crotalus-scutulatus
venemous,bd5a29330a,crotalus-horridus
nonvenemous,4451e8bf97,pituophis-catenifer
nonvenemous,86a4573103,thamnophis-sirtalis
venemous,da7212161e,crotalus-atrox
nonvenemous,aa1da0bc83,thamnophis-sirtalis
nonvenemous,6e802f864c,pantherophis-guttatus
nonvenemous,8eaa4e8d18,storeria-dekayi
venemous,ffa547380d,crotalus-horridus
nonvenemous,776bf9c3e7,pantherophis-obsoletus
nonvenemous,f6058731c7,nerodia-sipedon
nonvenemous,3137a9d8f4,pantherophis-obsoletus
nonvenemous,c5eda48da7,thamnophis-sirtalis
nonvenemous,23e13b5ba3,nerodia-sipedon
nonvenemous,c264755582,storeria-dekayi
nonvenemous,958f27ae53,storeria-dekayi
venemous,f1ce7a658c,crotalus-atrox
nonvenemous,897932c055,thamnophis-sirtalis
nonvenemous,a17470a422,storeria-dekayi
nonvenemous,f756da9b22,storeria-dekayi
nonvenemous,83f99d01b7,lampropeltis-triangulum
nonvenemous,1c097f3bb5,thamnophis-sirtalis
nonvenemous,638716b738,thamnophis-sirtalis
nonvenemous,74772031c5,pituophis-catenifer
nonvenemous,94f3aa78e0,pituophis-catenifer
nonvenemous,c0f734db4f,opheodrys-aestivus
venemous,4f9c43f59c,crotalus-atrox
nonvenemous,1b32d18277,thamnophis-sirtalis
nonvenemous,2145486df9,pituophis-catenifer
venemous,9e779ef62b,crotalus-atrox
nonvenemous,caa85de8a4,lampropeltis-californiae
nonvenemous,dab850c45f,lampropeltis-triangulum
nonvenemous,326a993691,storeria-dekayi
nonvenemous,1a313e58c0,storeria-dekayi
nonvenemous,eacde65a87,thamnophis-sirtalis
nonvenemous,16ef599310,thamnophis-sirtalis
nonvenemous,a1a1d8f4d3,lampropeltis-triangulum
nonvenemous,b66574f0cb,pituophis-catenifer
nonvenemous,dadd875c98,thamnophis-sirtalis
nonvenemous,35f3e07f8a,lampropeltis-triangulum
nonvenemous,35b25084a8,thamnophis-sirtalis
nonvenemous,5be6313607,thamnophis-sirtalis
nonvenemous,5e4b3549cb,thamnophis-sirtalis
nonvenemous,14af77c260,pantherophis-obsoletus
nonvenemous,a3ffe15ad1,thamnophis-sirtalis
nonvenemous,fcf5b7e439,pituophis-catenifer
venemous,510f5e1945,crotalus-atrox
venemous,99d309ee88,crotalus-atrox
nonvenemous,c5ba6d87e2,storeria-dekayi
venemous,0a00cdd2b8,crotalus-atrox
nonvenemous,9e10b0843c,pituophis-catenifer
nonvenemous,9818345fa3,thamnophis-sirtalis
nonvenemous,424b8caccf,lampropeltis-californiae
nonvenemous,291cd9c481,opheodrys-aestivus
nonvenemous,0c02a2f5d7,thamnophis-sirtalis
nonvenemous,3393c3a6eb,pantherophis-spiloides
nonvenemous,18e8e49c6a,storeria-dekayi
nonvenemous,45245a5e5a,lampropeltis-californiae
nonvenemous,13696d31fb,thamnophis-sirtalis
nonvenemous,41e720d7de,pantherophis-emoryi
nonvenemous,40303088fa,coluber-constrictor
nonvenemous,67d1d73480,thamnophis-sirtalis
venemous,4e3e773484,crotalus-atrox
nonvenemous,7517bb0623,haldea-striatula
nonvenemous,559133de50,thamnophis-sirtalis
nonvenemous,9ae22849c1,storeria-dekayi
venemous,c5ff38ff68,crotalus-atrox
venemous,71e572d33f,thamnophis-radix
nonvenemous,332e5c6785,storeria-dekayi
nonvenemous,6003bbcbf9,storeria-dekayi
nonvenemous,5c17e68b40,lampropeltis-californiae
nonvenemous,bad9a60677,thamnophis-sirtalis
nonvenemous,209b809200,thamnophis-sirtalis
nonvenemous,f2b9362dd4,pituophis-catenifer
nonvenemous,8de60975b5,thamnophis-sirtalis
nonvenemous,8add8bfac9,thamnophis-sirtalis
nonvenemous,0d5c403d38,thamnophis-sirtalis
nonvenemous,d483f5a5ce,opheodrys-aestivus
nonvenemous,7836689238,pituophis-catenifer
nonvenemous,724a385d2e,thamnophis-sirtalis
venemous,64e02bed8b,agkistrodon-contortrix
venemous,3133cffd8c,thamnophis-radix
nonvenemous,ebd7ad9677,nerodia-sipedon
nonvenemous,fe50e904ff,pituophis-catenifer
nonvenemous,7f4df9bad8,lampropeltis-triangulum
nonvenemous,b083b3bdfc,pituophis-catenifer
nonvenemous,5ac813acff,thamnophis-sirtalis
nonvenemous,35084d1574,thamnophis-sirtalis
nonvenemous,9bbb1238dd,storeria-dekayi
venemous,54da60ecca,agkistrodon-contortrix
venemous,8139d8a08f,crotalus-atrox
nonvenemous,cf4b998e06,thamnophis-sirtalis
nonvenemous,50ff72a201,thamnophis-sirtalis
nonvenemous,a0969f71a4,storeria-occipitomaculata
nonvenemous,64b71700c0,storeria-dekayi
nonvenemous,420c648f8f,thamnophis-sirtalis
nonvenemous,b48998dacd,lampropeltis-californiae
nonvenemous,d6ce6db8ac,pantherophis-alleghaniensis
nonvenemous,f359a3a1cb,thamnophis-sirtalis
venemous,3e27aded25,crotalus-atrox
nonvenemous,9baf0c175d,thamnophis-sirtalis
nonvenemous,60cd847169,pituophis-catenifer
nonvenemous,8cc2b43e73,lampropeltis-triangulum
nonvenemous,e635e0301a,storeria-dekayi
nonvenemous,53ad81ecbf,storeria-occipitomaculata
nonvenemous,bd77bff983,diadophis-punctatus
nonvenemous,e4b948cde5,storeria-dekayi
nonvenemous,7a85d0a38f,thamnophis-sirtalis
nonvenemous,6e104122dd,opheodrys-aestivus
venemous,0bd440f886,crotalus-scutulatus
nonvenemous,cfe48a6766,thamnophis-sirtalis
venemous,dea4ad3c5c,crotalus-atrox
nonvenemous,a70db3f4e2,pituophis-catenifer
venemous,73801d11da,crotalus-atrox
nonvenemous,91b9c66b6c,pantherophis-obsoletus
nonvenemous,7fa218f587,pantherophis-alleghaniensis
nonvenemous,89aac8751e,storeria-dekayi
nonvenemous,ccd99e20ab,lampropeltis-triangulum
nonvenemous,3d4e749f5c,thamnophis-sirtalis
nonvenemous,d981710b5c,thamnophis-sirtalis
nonvenemous,52eec0f3fb,lampropeltis-triangulum
venemous,7b01622a45,agkistrodon-piscivorus
nonvenemous,d8f3e2543c,pituophis-catenifer
nonvenemous,3da58beca1,storeria-dekayi
nonvenemous,27cc745b4e,lampropeltis-triangulum
nonvenemous,19e640cfea,thamnophis-sirtalis
nonvenemous,e97ad14aa0,thamnophis-sirtalis
nonvenemous,fee6ac0981,thamnophis-sirtalis
nonvenemous,7688910bf6,pituophis-catenifer
nonvenemous,e207f9f8e1,pantherophis-guttatus
venemous,38cfa09840,crotalus-atrox
nonvenemous,e8c28b1fa8,thamnophis-sirtalis
nonvenemous,14b9eb3c99,pantherophis-obsoletus
nonvenemous,90b9422778,pituophis-catenifer
nonvenemous,55c6c72734,pituophis-catenifer
nonvenemous,1b74b10f63,pantherophis-obsoletus
nonvenemous,dbe94ca39f,lampropeltis-triangulum
nonvenemous,2467f2a466,pantherophis-obsoletus
nonvenemous,87c3cc64a9,storeria-dekayi
nonvenemous,f4f5dd040b,pituophis-catenifer
nonvenemous,f32d83944c,pantherophis-vulpinus
nonvenemous,de0c5e9a87,pantherophis-alleghaniensis
nonvenemous,aff4a2c922,thamnophis-sirtalis
nonvenemous,f96291b278,pantherophis-guttatus
nonvenemous,c64eb91ae4,storeria-dekayi
nonvenemous,2ae2c1199a,pantherophis-obsoletus
nonvenemous,c032ab6ee3,pituophis-catenifer
nonvenemous,33e62ea503,pantherophis-guttatus
nonvenemous,4d5e7f22ae,thamnophis-sirtalis
venemous,daa2966222,crotalus-atrox
nonvenemous,a5234ec3be,opheodrys-aestivus
nonvenemous,80eead3616,thamnophis-sirtalis
